('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180510/11/01/ad213c693c6b5eb4ba80eaf7b9f62843.jpg', '2015年', '7.00万', '11.80万')
('传祺GA5 2015款 增程式 精英版', 'https://image.guazistatic.com/gz01180616/13/41/b79a1f3c63c2f6f9b1c994fbc28c9d97.jpg', '2017年', '8.28万', '21.60万')
9.80万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn18033113260332bf9b5d2ce99d5fd457ca7c8b7354fc.jpg', '2016年', '7.10万', '14.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn1805081031060e2f5dfe42eb10fd39d25ae31b473919.jpg', '5.2万公里', '8.80万', '14.80万')
('传祺GS4 2016款 235T G-DCT精英版', 'https://image1.guazistatic.com/qn180601151815cf6b4a14a8925da626d261fd2e916759.jpg', '2015年', '9.80万', '14.50万')
('传祺GS8 2017款 320T 两驱豪华智联版', 'https://image1.guazistatic.com/qn18070509255738fa4728a5bf8b3f76c1b2712c847fb9.jpg', '2017年', '16.50万', '19.80万')
('传祺GS5 2013款 1.8T 自动两驱豪华版', 'https://image.guazistatic.com/gz01180529/12/07/15fddab29c327fdac7b06d710c487834.jpg', '2.2万公里', '8.50万', '18.90万')
('传祺GS5 2013款 1.8T 自动两驱精英版', 'https://image1.guazistatic.com/qn1806121607437d0cc54a7e4608317afd008242d6f2c0.jpg', '5.7万公里', '6.50万', '17.80万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image1.guazistatic.com/qn180714002149cf38b9a527fbdef9da4ef623ca9ac0e2.jpg', '2016年', '8.88万', '15.60万')
('传祺GA5 2012款 1.8L 自动豪华型', 'https://image1.guazistatic.com/qn180428171957cf4e09bb7d74d67d07d52eb74aa0ff8e.jpg', '2015年', '5.90万', '15.90万')
('传祺GA3S视界 2014款 1.6L 自动豪华ESP版', 'https://image1.guazistatic.com/qn1805062008108398cfed02008d4ca3e9fa75a87a2b6e.jpg', '1.4万公里', '7.70万', '10.30万')
