('宝骏730 2016款 1.5L 手动舒适型 7座', 'https://image.guazistatic.com/gz01180614/18/28/99b7da9bd2a018556cad66711a855578.jpg', '1.9万公里', '7.00万', '7.60万')
('宝骏730 2015款 1.8L 手动豪华导航ESP版 7座', 'https://image1.guazistatic.com/qn180312204056c40dfe9116c4bf291153fa267ea4b557.jpg', '2016年', '5.60万', '9.70万')
('宝骏730 2014款 1.5L 手动豪华导航ESP版 7座', 'https://image.guazistatic.com/gz01180327/22/04/b085297026f811011040a512c79771db.jpg', '2014年', '6.00万', '9.00万')
('宝骏730 2016款 1.5L 手动豪华型 7座', 'https://image.guazistatic.com/gz01180601/10/44/fca552061130210850d1b3a182f54d15.jpg', '15.3万公里', '6.10万', '8.30万')
('宝骏730 2016款 1.5L 手动豪华型 7座', 'https://image.guazistatic.com/gz01180513/16/31/6a252545c8d8d425555ed21a2bdb9c3c.jpg', '3.8万公里', '6.50万', '8.30万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image1.guazistatic.com/qn1807051637199fe6049019afd5f4127997d84b6082bb.jpg', '2014年', '6.60万', '9.70万')
('宝骏560 2017款 律动版 1.8L iAMT尊享型', 'https://image1.guazistatic.com/qn1807051032331c640ea5ab990b2cfeaaa0bb8832d0a2.jpg', '2017年', '8.60万', '11.50万')
('宝骏730 2016款 1.5L 手动舒适型 7座', 'https://image1.guazistatic.com/qn1806131338431709c6df69ee511c7d25de1eb352cd17.jpg', '4.0万公里', '5.50万', '7.60万')
('宝骏730 2016款 1.5T 手动豪华型 7座', 'https://image.guazistatic.com/gz01180621/20/55/3d8c488b32e9fb227d0ae6a431c32307.jpg', '3.4万公里', '6.30万', '9.20万')
('宝骏730 2016款 1.5L 手动豪华型 7座', 'https://image1.guazistatic.com/qn180625172350a1023514746b660c963353dbd1b3864a.jpg', '2015年', '6.00万', '8.30万')
('宝骏730 2014款 1.5L 手动舒适型 7座', 'https://image1.guazistatic.com/qn180707121118166d2bcc9f7d9b65ba643762b8e2c00a.jpg', '2016年', '4.50万', '8.10万')
('宝骏730 2016款 1.8L iAMT舒适型 7座', 'https://image1.guazistatic.com/qn180712111930e94a576415f4e47e544345c1afa7897d.jpg', '8.7万公里', '7.00万', '8.80万')
('宝骏730 2016款 1.5T 手动豪华型 7座', 'https://image.guazistatic.com/gz01180602/10/33/e4160c8f1ed92c5a9b91d8e6dad8a06d.jpg', '1.8万公里', '6.28万', '9.20万')
('宝骏730 2016款 1.8L 手动豪华型 7座', 'https://image1.guazistatic.com/qn180619074538cc03a40b2732fac7662fde3633900643.jpg', '2015年', '5.40万', '9.70万')
('宝骏730 2016款 1.5T 手动豪华型 7座', 'https://image1.guazistatic.com/qn1806042239312a5508460ecfc6f9113496f3ff0cced7.jpg', '2016年', '6.00万', '9.20万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image1.guazistatic.com/qn180425031957e4ee0c6c5bc60414c9c896447d094737.jpg', '3.7万公里', '6.00万', '9.70万')
('宝骏560 2016款 1.8L iAMT豪华型', 'https://image.guazistatic.com/gz01180623/15/27/25a24adaeea32ffe9572c8ee51657282.jpg', '5.8万公里', '8.00万', '9.50万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image1.guazistatic.com/qn180407140309e8792a96cf96b51081e05d3e32f8b828.jpg', '2017年', '6.30万', '9.70万')
('宝骏730 2016款 1.8L 手动舒适型 7座', 'https://image.guazistatic.com/gz01180426/12/45/766c5757daacb2652cc92de7b06cb962.jpg', '2017年', '5.80万', '9.10万')
('宝骏730 2014款 1.5L 手动豪华导航ESP版 7座', 'https://image.guazistatic.com/gz01180628/09/46/7ccc5095c8c1f14024bbabf00a15bb2f.jpg', '2.2万公里', '5.50万', '9.00万')
('宝骏730 2014款 1.5L 手动舒适型 7座', 'https://image.guazistatic.com/gz01180701/19/02/426a44bc656235c729f7834a76ee8535.jpg', '2.7万公里', '4.70万', '8.10万')
('宝骏560 2015款 1.8L 手动精英型', 'https://image.guazistatic.com/gz01180329/11/10/c79590fc6c2be238e72275aea34c65d8.jpg', '2016年', '6.00万', '9.10万')
('宝骏730 2016款 1.5L 手动超值型 7座', 'https://image.guazistatic.com/gz01180606/13/04/562854f0a30727eacd2a3f164ffdd142.jpg', '1.8万公里', '5.10万', '6.60万')
('宝骏730 2014款 1.5L 手动豪华型 7座', 'https://image.guazistatic.com/gz01180327/18/17/12808aeba965de292eadf39334ab3289.jpg', '2015年', '4.98万', '8.80万')
('宝骏730 2016款 1.5L 手动舒适型 7座', 'https://image1.guazistatic.com/qn171230210912399a263d5a941d1ea80887001b59c4b8.jpg', '3.9万公里', '6.20万', '7.60万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image1.guazistatic.com/qn18070818345155632a562806d2e8945b6d7f7d0ed370.jpg', '2015年', '6.00万', '9.70万')
('宝骏730 2016款 1.8L 手动舒适型 7座', 'https://image.guazistatic.com/gz01180704/09/18/d51799ca403dfe73671089a2fee758a1.jpg', '8.9万公里', '5.80万', '9.10万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image.guazistatic.com/gz01180401/17/27/08674bc5089cef2cdb8ef027ffcdb377.jpg', '2015年', '6.08万', '9.70万')
('宝骏560 2015款 1.8L 手动精英型', 'https://image.guazistatic.com/gz01180513/13/40/14b854abf9be2f060dc72d1b7bf48356.jpg', '2.3万公里', '7.00万', '9.10万')
('宝骏730 2014款 1.5L 手动豪华导航ESP版 7座', 'https://image.guazistatic.com/gz01180615/19/14/b6929a2f5803da99d7837a0db25d5e0c.jpg', '2015年', '5.00万', '9.00万')
('宝骏730 2016款 1.5T 手动舒适型 7座', 'https://image.guazistatic.com/gz01180703/15/15/0f4db79bdb33b6823faff7dc114fdcb8.jpg', '5.6万公里', '5.50万', '8.40万')
('宝骏730 2016款 1.8L 手动豪华型 7座', 'https://image.guazistatic.com/gz01180630/16/41/ab0d268262fcf8172baae9865a854816.jpg', '2016年', '6.20万', '9.70万')
('宝骏730 2014款 1.5L 手动豪华型 7座', 'https://image1.guazistatic.com/qn18071217223269cc99b23107aa0eab9383586d01c198.jpg', '8.6万公里', '4.45万', '8.80万')
('宝骏730 2015款 1.8L 手动豪华导航ESP版 7座', 'https://image1.guazistatic.com/qn171228004324b196925c4b6a50191953c49303542e02.jpg', '2015年', '6.20万', '9.70万')
('宝骏560 2015款 1.8L 手动豪华型', 'https://image.guazistatic.com/gz01180619/17/19/eee33d45846ce1dc03798d047d3146de.jpg', '6.4万公里', '5.50万', '9.70万')
('宝骏730 2014款 1.5L 手动舒适ESP版 7座', 'https://image1.guazistatic.com/qn1807120253205f2b31aed85e332d3516a22c46b9cbfe.jpg', '2014年', '5.08万', '8.20万')
('宝骏730 2014款 1.5L 手动豪华导航ESP版 7座', 'https://image1.guazistatic.com/qn18070421230831bfd9acff17b68477139c0581d5a0a7.jpg', '6.2万公里', '4.80万', '9.00万')
('宝骏730 2014款 1.5L 手动豪华型 7座', 'https://image1.guazistatic.com/qn1807121819400fb56e18ad2defdf043064349206db8d.jpg', '2015年', '5.20万', '8.80万')
